sec,stnew,strm,grp,sstrm,bstrm,Bstrm_name
2,9,204,9,2,D026,Lucknow
2,9,204,9,3,D026,Lucknow
1,9,526,2,1,D026,Lucknow
1,27,18,2,1,D027,Beed
1,27,18,2,2,D027,Beed
1,27,18,2,3,D027,Beed
2,27,18,9,1,D027,Beed
1,10,21,2,1,D027,Nalanda
1,10,21,2,2,D027,Nalanda
1,10,21,2,3,D027,Nalanda
1,21,21,1,1,D027,Rayagada
1,33,21,2,1,D027,Tirunelveli
2,10,21,9,1,D027,Nalanda
2,21,21,9,1,D027,Rayagada
2,33,21,9,1,D027,Tirunelveli
2,33,21,9,2,D027,Tirunelveli
1,8,22,2,1,D027,Banswara
1,8,22,2,2,D027,Banswara
1,29,23,1,1,D027,Kolar
1,29,23,2,1,D027,Kolar
2,8,23,9,1,D027,Banswara
2,29,23,9,1,D027,Kolar
1,23,25,2,1,D027,Bhopal
1,9,27,2,1,D027,Rae Bareli
1,9,27,2,2,D027,Rae Bareli
2,9,27,9,1,D027,Rae Bareli
2,23,203,9,1,D027,Bhopal
2,23,203,9,2,D027,Bhopal
2,23,203,9,3,D027,Bhopal
1,9,527,2,1,D027,Rae Bareli
1,27,19,2,1,D028,Latur
1,27,19,2,2,D028,Latur
2,27,19,9,1,D028,Latur
1,22,20,2,1,D028,Manendragarh-Chirmiri-Bharat
2,22,20,9,1,D028,Manendragarh-Chirmiri-Bharat
1,10,22,2,1,D028,Patna
1,10,22,2,2,D028,Patna
1,10,22,2,3,D028,Patna
1,21,22,2,1,D028,Nabarangapur
1,21,22,2,2,D028,Nabarangapur
1,33,22,2,1,D028,Kanniyakumari
2,10,22,9,1,D028,Patna
2,21,22,9,1,D028,Nabarangapur
2,33,22,9,1,D028,Kanniyakumari
2,33,22,9,2,D028,Kanniyakumari
1,8,23,1,1,D028,Chittorgarh
1,8,23,2,1,D028,Chittorgarh
1,18,24,2,1,D028,Hojai
1,29,24,2,1,D028,Chikkaballapura
2,8,24,9,1,D028,Chittorgarh
2,18,24,9,1,D028,Hojai
2,29,24,9,1,D028,Chikkaballapura
1,23,26,2,1,D028,Sehore
1,23,26,2,2,D028,Sehore
2,23,26,9,1,D028,Sehore
1,9,28,2,1,D028,Farrukhabad
1,9,28,2,2,D028,Farrukhabad
2,9,28,9,1,D028,Farrukhabad
2,10,201,9,1,D028,Patna
2,10,201,9,2,D028,Patna
1,36,20,2,1,D029,Nalgonda
1,36,20,2,2,D029,Nalgonda
2,36,21,9,1,D029,Nalgonda
1,10,23,2,1,D029,Bhojpur
